038.02569583	+36.14727778	 5.15	 55635	 15656	14   TRI
038.27930000	-34.65000278	 5.90	193763	 15975	LAM1 FOR
038.96862083	 +5.59322222	 4.86	110635	 16161	NU   CET
039.00020000	 -7.83162222	 5.53	130004	 16212	80   CET
039.02036667	 +6.88691389	 5.82	110636	 16160	         	268 G CET
039.50835833	+72.81828889	 5.16	  4694	 15920
039.70410833	+21.96138611	 5.43	 75495	 16432	NU   ARI
039.87063750	 +0.32849444	 4.07	110665	 16582	DEL  CET
039.89733750	-68.26694167	 4.11	248621	 16978	EPS  HYI
040.16507917	-54.54996667	 5.21	232857	 16920	ZET  HOR
040.16682500	-39.85542778	 4.11	215999	 16815	IOT  ERI
040.86296667	+27.70713333	 4.66	 75532	 16908	35   ARI
041.02148750	+44.29703333	 5.43	 38289	 16901	14   PER
041.03062917	-13.85871389	 4.25	148575	 17081	PI   CET
041.04994167	+49.22846667	 4.12	 38288	 16895	THE  PER
041.06094583	-25.49542222	 6.98	168012	 17134
041.20699167	+67.82463333	 5.95	 12421	 16769
041.23557083	+10.11410000	 4.27	110723	 17094	MU   CET
042.27262083	-32.40594444	 4.46	193931	 17652	BET  FOR
042.49595417	+27.26050278	 3.63	 75596	 17573	41   ARI
042.67421250	+55.89550000	 3.76	 23655	 17506	ETA  PER
042.75968333	-21.00403056	 4.75	168094	 17824	TAU2 ERI
042.87328750	+15.08204444	 5.49	 93144	 17769	SIG  ARI
043.56440417	+52.76248611	 3.95	 23685	 17878	TAU  PER
044.10687917	 -8.89816667	 3.89	130197	 18322	ETA  ERI 	AZHA
044.15593750	 -3.71231944	 5.17	130199	 18331
044.52172917	+20.66874722	 5.80	 75662	 18404	47   ARI
044.56540000	-40.30471389	 3.25	216113	 18622	THE1 ERI 	ACAMAR
044.76531667	+35.18312222	 4.93	 56052	 18449	24   PER
044.92874583	 +8.90736389	 4.70	110889	 18604	LAM  CET
045.51045833	-18.20780556	 7.53	148724	 18921
